112313321571_S193_L001.sorted.bam.bam	112313321776_S1_L001.sorted.bam.bam	112313332883_S331_L001.sorted.bam.bam	112313357426_S2_L001.sorted.bam.bam
Reads	56117	28011	    0	50923
Mapped	35164	23555	    0	35745
Unmapped	20953	 4456	    0	15178
OnTarget	29348	19068	    0	26601
OffTarget	5816	4487	   0	9144
Dhfr_Fragment1_pos16_C50R_N51I_C59R	4833	2134	0	2673
Dhfr_Fragment2_S108N_I164L	1261	898	0	1741
Mdr1_Fragment1_N86Y	824	1032	0	1537
Mdr1_Fragment2_Y184F	1015	502	0	490
Mdr1_Fragment3_S1034C_R_N1042D	2165	685	0	645
Mdr1_Fragment4_D1246Y	265	255	0	436
Crt_FragmentJeromeAsaap_C72R_M74I_N75D_E_K76I_T93S_H97Y_L_Q	1254	1229	0	1606
Crt_Fragment4_F145I	2940	947	0	746
Crt_Fragment6_Q271E	6	24	0	28
Crt_Fragment10_R371I	0	59	0	165
Dhps_Fragment1_S436A_S_G437A	2746	834	0	883
Dhps_Fragment2_K540E_A581G_A613S	551	709	0	2378
Cor_Fragment3_G50E_R100K	4805	2745	0	3031
K13_Fragment2_A675V_C580Y_P574L_V568G_R561H_R622I	4057	4535	0	5521
Cytb_Fragment4_I258M_Y268C_S_N_272_275	2626	2480	0	4721
Cor	4805	2745	0	3031
Crt	4200	2259	0	2545
Cytb	2626	2480	0	4721
Dhfr	6094	3032	0	4414
Dhps	3297	1543	0	3261
K13	4057	4535	0	5521
Mdr1	4269	2474	0	3108
